assessmentId,internalTaxonId,scientificName,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,rationale,habitat,threats,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
93707153,22698863,Hemitriccus josephinae,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'uncommon' (Stotz et al. 1996).",Decreasing,,,Terrestrial,,Neotropical,,FALSE,FALSE,Global,5542.0,Tyrannidae,Passeriformes,AVIBASE-8DEC75BC,2.0,1.0,0.0,1.0,2.0,13.2,8.7,5.6,3.5,18.2,48.7,4.6,44.1,9.1,43,10.8,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-2.93,7.78,1.9,-55.35,666063.43
93710615,22698964,Hemitriccus furcatus,Vulnerable,"A2c+3c+4c;B1ab(i,ii,iii,v);C2a(i)",2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a small and severely fragmented population and range, which are declining rapidly as a result of ongoing habitat loss. It consequently qualifies as Vulnerable. <p></p>","It is found in the undergrowth of humid forest borders and second growth, especially where there are dense thickets of bamboo (particularly large-leaved species) and vine-tangles. It persists in degraded forest, and often occurs in fairly open places with only scattered trees that barely form a continuous canopy. Territories appear to be small (c.100 m<sup>2</sup>). Birds forage singly in the lower and middle storeys, and rarely join mixed-species flocks. Insects, including small caterpillars and katydids, are gleaned primarily from bamboo leaves during short sallying flights. The only breeding data concerns a recently fledged juvenile following a pair at Itatiaia National Park, Rio de Janeiro in September, and at Boa Nova, Bahia, in November, both at c. 900 m (G.&#160;M.&#160;Kirwan <em>in litt</em>. 1999; <strong><sup></sup></strong>Kirwan 2009). <p></p>","Although some deforestation may lead to a short-term increase in areas with bamboo, forest clearance has been so extensive throughout its range that it is likely to have greatly reduced numbers. Smallholder farms are rapidly encroaching on the remaining forest at Boa Nova, Bahia (A.&#160;Whittaker <em>in litt</em>. 1999)<strong><sup></sup></strong>. <p></p>","The population is estimated to number 2,500-9,999 mature individuals based on an assessment of known records, descriptions of abundance and range size. This is consistent with recorded population density estimates for congeners or close relatives with a similar body size, and the fact that only a proportion of the estimated Extent of Occurrence is likely to be occupied. This estimate is equivalent to 3,750-14,999 individuals, rounded here to 3,500-15,000 individuals.",Decreasing,"<em>Hemitriccus furcatus</em> occurs in south-east <strong>Brazil</strong> in Bahia, Minas Gerais, Rio de Janeiro and SÃ£o Paulo. The Bahia population was only discovered in 1993 (<strong></strong>Gonzaga <em>et al</em>. 1995)<strong><sup></sup></strong>, extending its known range northwards by c.1,000 km. Several new localities have recently been discovered, with one in the Serra do Mar south of Ubatuba extending its known range southwards (F. Olmos <em>in litt.</em> 2003)<strong><sup></sup></strong>. The occurrence of the species south of Ubatuba at the BoracÃ©ia Biological Station (Wege and Long 1995)<strong><sup></sup></strong> has not been confirmed, although there is good and extensive habitat in the entire Serra do Mar.<em> <p></p></em>",,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>This species is considered Vulnerable at the national level (MMA 2014) and protected by Brazilian law. It occurs in seven protected areas: Desengano State Park, Itatiaia National Park (J. F. Pacheco <em>in litt. </em>2003)<strong></strong>, Ubatuba Experimental Station, Serra do Mar State Park, CairuÃ§u Environmental Protected Area (Buzzetti 2000)<strong></strong>, Desengano State Park, and Serra Bonita Private Reserve<strong></strong><span style=""font-weight: bold;""> </span>(B. Whitney &amp; J. F. Pacheco <em>in litt.</em> 2003). <p></p><strong>Conservation Actions Proposed</strong><br/>Survey suitable habitat, particularly between the two disjunct populations, to clarify distribution and status. Investigate ecological requirements, especially the purported link to large-leaved bamboo. Consolidate key protected areas, such as Serra do Mar State Park. Investigate the feasibility of protecting remaining forest at Boa Nova. Survey historical localities such as Matodentro, SÃ£o Paulo and the portion of Serra do Mar State Park south of Ubatuba that have significant forest remnants.  <p></p>",Neotropical,,FALSE,FALSE,Global,5557.0,Tyrannidae,Passeriformes,AVIBASE-6D4EB6D9,5.0,2.0,1.0,2.0,5.0,10.2,6.9,4.2,3.2,15.3,43.1,4.4,38.7,10.3,37.8,9.4,Inferred,,YES,Body Mass,Hemitriccus rufigularis,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-23.91,-14.36,-21.77,-44.03,7556.76
93713762,22699054,Poecilotriccus pulchellus,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"Although this species may have a small range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'uncommon and patchily distributed' (Stotz et al. 1996).",Decreasing,,,Terrestrial,,Neotropical,,FALSE,FALSE,Global,5569.0,Tyrannidae,Passeriformes,AVIBASE-6E0EF5A3,3.0,2.0,1.0,0.0,3.0,12,7.1,4.3,3.1,14.6,46.7,4.5,42.2,9.6,32.8,8,Updated_literature,BoW,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-13.43,-12.42,-12.95,-71.17,6877.8
93714507,22699086,Phyllomyias reiseri,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.","Although virtually unknown, the species has been found foraging mostly in the canopy and subcanopy (but also the understorey) of gallery and tall dry forest (where it frequently joins mixed species flocks) within the cerrado region at elevations of 700-1,000 m (Ridgely and Tudor 1994, Stotz et al. 1996), and the tropical dry forests of the SÃ£o Francisco drainage (da Silva 1996).","This species may be suffering from the extensive destruction of cerrado habitats for agricultural conversion (especially through overgrazing and Eucalyptus plantations), and may be affected by fire spreading from adjacent grasslands and farms. Its dry forest habitats are also under constant pressure of deforestation mainly for the charcoal industry, agriculture and Eucalyptus plantations.","The global population size has not been quantified, but the species is described as uncommon and very local (del Hoyo et al. 2004).",Decreasing,"This species inhabits the arid interior of east Brazil (south PiauÃ­, south GoiÃ¡s, Bahia, Minas Gerais, Distrito Federal and east Mato Grosso do Sul) and north-east Paraguay (ConcepciÃ³n and possibly Amambay) (Ridgely and Tudor 1994).",,Terrestrial,,Neotropical,,FALSE,FALSE,Global,5652.0,Tyrannidae,Passeriformes,AVIBASE-FF3533CF,4.0,2.0,1.0,1.0,3.0,7.9,5.1,3.4,3.2,14.5,57.1,10.3,46.8,18.1,52.9,7.5,Dunning,,NO,,,Woodland,1.0,1.0,Carnivore,Invertivore,Insessorial,-24.04,-8.45,-16.02,-50.01,650161.75
93715006,22699100,Phyllomyias griseocapilla,Near Threatened,A2c+3c+4c,2016,2016-10-01 00:00:00 UTC,3.1,English,This species is classified as Near Threatened because it is suspected to be declining moderately rapidly owing to habitat loss. <p></p>,"It is resident in the borders of lowland and montane evergreen forest, and shrubby clearings with scattered trees at 750-1,850 m (Ridgely and Tudor 1994; Parker <em>et al.</em> 1996<span style=""font-weight: bold;""></span>)<strong></strong>.  <p></p>","Agricultural conversion and deforestation for mining and plantation production historically threatened its lowland forests (Fearnside 1996). Current key threats are urbanisation, industrialisation, agricultural expansion, colonisation and associated road-building<strong> </strong>(Dinerstein <em>et al.</em> 1995). <p></p>","The global population size has not been quantified, but this species is described as 'uncommon and patchily distributed' (Stotz et al. 1996).",Decreasing,<em>Phyllomyias griseocapilla</em> occurs in south-east <strong>Brazil</strong> (east Minas Gerais and EspÃ­rito Santo to east Santa Catarina) where it is uncommon to relatively common but patchily distributed<strong> </strong> (Ridgely and Tudor 1994; Parker <em>et al.</em> 1996). <em> <p></p></em>,,Terrestrial,"<strong>Conservation Actions Underway</strong><br/>It occurs in several protected areas including Itatiaia National Park, Augusto Ruschi Biological Reserve and Intervales State Park. <p></p><strong>Conservation Actions Proposed</strong><br/>Census and monitor populations to assess the global population and demographic trends and to refine the distribution and locate strongholds. Investigate its ecology and ability to persist in degraded and fragmented habitats. Effectively protect the protected areas within its range.  <p></p>",Neotropical,,FALSE,FALSE,Global,5655.0,Tyrannidae,Passeriformes,AVIBASE-4EE55690,4.0,1.0,1.0,2.0,4.0,9.5,5.2,3.3,3.1,15.7,56.5,8.0,48.5,14.2,46.8,8,EltonTraits_Model,,NO,,,Forest,1.0,1.0,Omnivore,Invertivore,Insessorial,-29.8,-14.3,-22.35,-44.42,190093.2
93720029,22699230,Myiopagis gaimardii,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'common' (Stotz et al. (1996).",Stable,,,Terrestrial|Freshwater (=Inland waters),,Neotropical,,FALSE,FALSE,Global,5640.0,Tyrannidae,Passeriformes,AVIBASE-54EC5236,7.0,2.0,4.0,1.0,4.0,11.3,6.9,3.9,3.2,17.8,57.3,10.3,46.1,18.4,52.8,12,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-21.86,12.46,-4.62,-61.99,8673168.36
93723324,22699277,Elaenia strepera,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'uncommon' (Stotz et al. 1996).",Decreasing,,,Terrestrial|Freshwater (=Inland waters),,Neotropical,,FALSE,FALSE,Global,5619.0,Tyrannidae,Passeriformes,AVIBASE-7DDAC0D3,11.0,5.0,6.0,0.0,6.0,12.5,5.8,4.3,3.5,16.2,78.6,17.0,61.6,21.6,63.7,19.3,Dunning,,NO,,,Woodland,2.0,3.0,Carnivore,Invertivore,Insessorial,-29.94,-16.56,-23.09,-64.63,231149.28
93724998,103681177,Elaenia obscura,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has an extremely large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species was described as 'uncommon', prior to being split (Stotz et al. 1996).",Stable,"E slope of Andes from S Ecuador (Azuay, Loja) S to Bolivia and NW Argentina (S to TucumÃ¡n).",,Terrestrial,,Neotropical,,FALSE,FALSE,Global,5618.0,Tyrannidae,Passeriformes,AVIBASE-E6A70247,13.0,5.0,8.0,0.0,1.0,15.8,8.2,4.1,4.3,20.3,84.7,13.1,71.6,15.4,84.5,23.9,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Invertivore,Insessorial,-27.09,-2.19,-12.36,-72.61,326587.09
93725612,103681452,Elaenia fallax,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"Although this species may have a restricted range, it is not believed to approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). Despite the fact that the population trend appears to be decreasing, the decline is not believed to be sufficiently rapid to approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species was described as 'fairly common', prior to being split (Stotz et al. (1996).",Decreasing,Jamaica.,,Terrestrial,,Neotropical,,FALSE,FALSE,Global,5634.0,Tyrannidae,Passeriformes,AVIBASE-329042B8,2.0,1.0,1.0,0.0,2.0,11,6.2,3.7,3.4,18.2,67.9,13.3,54.6,19.6,65.2,14.4,Dunning,,NO,,,Forest,1.0,1.0,Omnivore,Invertivore,Insessorial,17.88,18.44,18.16,-77.37,6030.05
93726171,22699319,Mecocerculus hellmayri,Least Concern,,2016,2016-10-01 00:00:00 UTC,3.1,English,"This species has a very large range, and hence does not approach the thresholds for Vulnerable under the range size criterion (Extent of Occurrence &lt;20,000 km2 combined with a declining or fluctuating range size, habitat extent/quality, or population size and a small number of locations or severe fragmentation). The population trend appears to be stable, and hence the species does not approach the thresholds for Vulnerable under the population trend criterion (&gt;30% decline over ten years or three generations). The population size has not been quantified, but it is not believed to approach the thresholds for Vulnerable under the population size criterion (&lt;10,000 mature individuals with a continuing decline estimated to be &gt;10% in ten years or three generations, or with a specified population structure). For these reasons the species is evaluated as Least Concern.",,,"The global population size has not been quantified, but this species is described as 'fairly common' (Stotz et al. (1996).",Stable,,,Terrestrial,,Neotropical,,FALSE,FALSE,Global,5666.0,Tyrannidae,Passeriformes,AVIBASE-C5B7FACC,10.0,5.0,5.0,0.0,3.0,9.4,5.1,2.8,2.9,16.9,56.3,9.0,47.3,16.1,45.9,8,Dunning,,NO,,,Forest,1.0,1.0,Carnivore,Invertivore,Insessorial,-24.73,-13.66,-18.92,-65.61,69941.23
